code,pk_id,like count,post,updatedAt,firtstmatch
CqdVqICOMxV,9702158,5918,"I just realized that it’s been over a month since I posted here on Instagram.. which is a little odd for me! I’ve been utilizing social media for SO many years that sometimes I get this guilt from not sharing enough.. but truly, I am also enjoying a little break away and to live in the moment, even on set! I was having this conversation with a friend of mine and we were wondering whether it was age, being comfortable with just being present and not having to ‘share’ as much. Either way, I’m still trying to find that balance because I’m either an ALL IN or out completely kind of person lately! So I thought I’d share some of my story highlights over the last few weeks, as life has been busy but I just don’t have any creative or published projects projects to show (just yet).

A few highlights recently:
▪️Set life with @lancomeofficial shooting beauty! 
▪️Slide 2/3 glimpses of my new studio that I’m now sharing with @emilysoto in NY! So exciting. 
▪️Coffee and brunch dates with @megantoriglia (my favorite Canadian) who came to visit for 3 weeks. I miss her already
▪️Set from @buxomcosmetics campaign who I’ve been working with a lot lately
▪️Inspiration visits to photo galleries and exhibitions in NY. Stopping at @patrickdemarchelier @victordemarchelier gallery @staleywisegallery and @fotografiska.newyork - I was very inspired by @elizavetaporodina who’s work sang to my fine art photography heart. 

What have you all been up to?",2023-11-18 19:48:02,@lancomeofficial
CrVvS0EuL_9,9702158,1357,"It's hard to believe that it's almost been two years since I launched 'The Light Guide'! Thousands of you around the globe now own the guide & it always amazes me when I see a photographer's results after following my go-to lighting recipes! ⁣
⁣
https://www.larajadeeducation.com/pdf-guides/light-guide⁣
⁣
I put my heart and soul into this guide. My goal was to change the way fashion inspired lighting is currently taught - giving you clear and concise lighting information without the math and complication (this was something that put me off wanting to learn more when I started photography in my early teens!).⁣
⁣
THANK YOU to those who have purchased the guide & I hope it continues to inspire you all!",2023-11-18 19:48:02,
ChFIk4uuas2,9702158,3056,"New shoot for the August issue @tatlerasia! 

Model @adotthegreatt 
Styling by @connie_berg 
Production & Casting @muzam_productions 
Make Up by @williamrmurphy 
Hair by @charlesmchair 
Retouching @retouchconcept 
With thanks to assistants @hunterarthurm and @steventphoto",2023-11-18 19:55:03,@tatlerasia
Cl6fjFGOl4R,9702158,4117,"New Work with the beautiful @thelumagrothe 🖤 ⁣
Styling @connie_berg ⁣
Make Up by @theauthenticface ⁣
Hair by @nikoweddle ⁣
Retouching @retouchconcept",2023-11-18 19:55:03,@thelumagrothe
CTAJG8RALCa,9702158,6228,"What inspires you right now? ⁣
⁣
I’m starting to feel the creative fire again.. and excited to start planning shoots after taking a few weeks off! ⁣
⁣
Photo of me by @hunterarthurm",2023-11-18 19:55:03,@hunterarthurm
Cwcw6KWOBkR,9702158,7009,"New work for @modernluxury x @tiffanyandco shot at the Tiffany Landmark building in NY. ⁣Possibly my favorite from the editorial! 🖤
⁣
Model - the amazing @adotthegreatt ⁣
Styling by @fayevandevrede ⁣
Make Up by @williamrmurphy ⁣
Hair by @nikoweddle ⁣
Retouch by @retouchconcept",2023-11-18 19:55:03,@modernluxury
CwSVoJcusrE,9702158,1804,"New work for @modernluxury x @tiffanyandco shot at the Tiffany Landmark building in NY. ⁣💎
⁣
Model - the amazing @adotthegreatt ⁣
Styling by @fayevandevrede ⁣
Make Up by @williamrmurphy ⁣
Hair by @nikoweddle ⁣
Retouch by @retouchconcept",2023-11-18 19:55:03,@modernluxury
CwupZm1umRX,9702158,4151,"New work for @modernluxury x @tiffanyandco 💎 
⁣
Model @adotthegreatt ⁣
Styling by @fayevandevrede ⁣
Make Up by @williamrmurphy ⁣
Hair by @nikoweddle ⁣
Retouch by @retouchconcept",2023-11-18 19:55:03,@modernluxury
CwxyLKnu70K,9702158,6085,"My daughter Avery Quinn Zanoni was born a week ago on Monday at 8.22pm weighing 6lb 9oz. ⁣
⁣
We love our tiny human and have slowly been adjusting to life as 3. 🖤 ⁣
⁣
Swipe for more cuteness from her first photoshoot! 
⁣",2023-11-18 19:55:03,
Cx8ztakOy68,9702158,3731,"Beauty with @drew.kemp 🖤 which shot is your favorite? ⁣
⁣
Make Up by @theauthenticface Hair by @hsbk_",2023-11-18 19:55:03,@drew.kemp
Cy6U_cbu1BT,9702158,2280,"B&W beauty portraits from a few months back. My favorite theme to shoot lately! ⁣
⁣
Model @aliiettt ⁣
⁣Styling by @jiparadigm ⁣⁣⁣
Make Up by @williamrmurphy⁣⁣⁣
Hair by @ayumi_yamamoto.hair ⁣⁣⁣
Retouching by @retouchconcept⁣⁣
Photo Assistant @steventph.oto",2023-11-18 19:55:03,@aliiettt
CyjATvRunX2,9702158,1425,"New work for @modernluxury x @tiffanyandco shot at the Tiffany Landmark building in NY. ⁣
⁣
Model @adotthegreatt ⁣
Styling by @fayevandevrede ⁣
Make Up by @williamrmurphy ⁣
Hair by @nikoweddle ⁣
Retouch by @retouchconcept",2023-11-18 19:55:03,@modernluxury
CyN_1yoONwK,9702158,2139,"Looking back on a few older shoots from last year. Loved this one with @jia_ttong! We’ve worked together numerous times on personal shoots and campaigns over the years and every shoot is a pleasure. She quickly became one of my muses 🖤 
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching @retouchconcept",2023-11-18 19:55:03,@jia_ttong
CyoW4iaOuCB,9702158,2966,"B&W with @thelumagrothe 🖤 ⁣⁣
⁣
Which one is your favorite shot? ⁣
⁣
Styling by @connie_berg ⁣⁣
Make Up by @theauthenticface ⁣⁣
Hair by @nikoweddle ⁣⁣
Retouching @retouchconcept",2023-11-18 19:55:03,@thelumagrothe
Cr-1IcpO73k,9702158,2523,"The beautiful @aliiettt ⁣stopped by my studio a few weeks ago & this is what we created! I’ll always love a warm palette & a gold jewlery combo! ✨
⁣
Styling by @jiparadigm ⁣⁣
Make Up by @williamrmurphy⁣⁣
Hair by @ayumi_yamamoto.hair ⁣⁣
Retouching by @retouchconcept⁣
Photo Assistant @steventphoto",2023-11-18 19:55:45,@aliiettt
CsEwLxduvWU,9702158,1661,"Beauties @aliiettt ⁣and @koujayn in the studio. Which shot is your favorite? 
⁣
Styling by @jiparadigm ⁣⁣
Make Up by @williamrmurphy⁣⁣
Hair by @ayumi_yamamoto.hair ⁣⁣
Retouching by @retouchconcept⁣
Photo Assistant @steventphoto",2023-11-18 19:55:45,@aliiettt
CsomxEOORaO,9702158,3033,"New work with the inspiring @delfinamorbelli. Absolutely loved shooting this story - it definetly ignited the creative fire in me again! Can't wait to get back into my studio for more personal work.

Styling by @alikornhauser 
Make Up by @theauthenticface 
Hair by @jeanie.syfu 
Retouching by @retouchconcept",2023-11-18 19:55:45,@delfinamorbelli.
CsTZYujuV_s,9702158,1572,"The beautiful @koujayn! Loved shooting these beauty looks with an amazing team. 
⁣
Styling by @jiparadigm ⁣⁣
Make Up by @williamrmurphy⁣⁣
Hair by @ayumi_yamamoto.hair ⁣⁣
Retouching by @monica_chamorro 
Photo Assistant @steventphoto",2023-11-18 19:55:45,@koujayn
Ct1qA8Cv7SN,9702158,2200,"Flash summer sale is here at the Lara Jade Education store! 

For a limited time get 30% off all of my presets (LR, C1 and PS) & PDF photo guides (including the popular Light Guide!).

Simply use code SUMMER at checkout. www.larajadeeducation.com",2023-11-18 19:55:45,
CtbaxgMO-fr,9702158,3925,"A few more from my shoot with  @delfinamorbelli. It was so hard to pick favorites from this shoot so I got so many retouched! Do you have a favorite out of these 3?

Styling by @alikornhauser 
Make Up by @theauthenticface 
Hair by @jeanie.syfu 
Retouching by @retouchconcept",2023-11-18 19:55:45,@delfinamorbelli.
CtNK-XaO8h4,9702158,2458,"New work with the inspiring @delfinamorbelli. I couldn’t choose which one to post.. which shot is your favorite?! 

Styling by @alikornhauser 
Make Up by @theauthenticface 
Hair by @jeanie.syfu 
Retouching by @retouchconcept",2023-11-18 19:55:45,@delfinamorbelli.
CuZ5o8FOWE4,9702158,13896,"I’ve been keeping a little secret…⁣
⁣
My greatest project is yet to come! I am very excited to announce that @james_zanoni and I will be having a little girl at the end of August! I’ve quite enjoyed keeping this little secret between my friends and family over the past few months but I can’t hide it anymore.. and I also feel ready to share with you all after having this photoshoot done by my wonderful friend @_emilyteague, who made me feel very comfortable and beautiful in front of her lens! ⁣
⁣
Scroll through and let me know which image is your favorite. I found it SO hard to pick one to share! Thank you Emily I’m forever grateful for you for capturing me this special moment! ⁣
⁣
Its crazy to think Ill be a mom in less than 2 months but I am excited for the next chapter and one things for sure - there won’t be a lack of images of her! ❤️",2023-11-18 19:55:45,@james_zanoni
Cv7KJdVugwt,9702158,8921,"The Fashion Posing Guide just launched!

https://www.larajadeeducation.com/pdf-guides/fashion-posing-guide (link in bio) 

With over 190+ pages and over 150+ poses to follow, this guide will easily become your favorite studio companion! Use it to reference poses, learn more about about the foundations of posing (including many of my tried and tested techniques) and discover new posing workflows with the themed posing guides (Classic, Cover, Edgy & Dynamic Poses).

USE THIS GUIDE TO -

▪️Learn more about my posing techniques & methods.

▪️Discover more about the key foundations of posing (body language, expression & connecting shoot theme/concept).

▪️Gain confidence in the studio environment with models & clients.

▪️Learn about lens choice & perspective & how it plays a part in posing.

▪️Easily reference & copy poses with the themed posing guides (over 150+ poses to reference from!)

▪️Find inspiration, new ideas & discover new posing workflows.

💬 Have questions about the guide or on fashion posing? I’d love to answer your questions. Write below!",2023-11-18 19:55:45,
CvkRGE4uMdg,9702158,2102,"Couldn’t help but share a more from my shoot with  @delfinamorbelli. Do you have a favorite shot out of these 3?

Styling by @alikornhauser 
Make Up by @theauthenticface 
Hair by @jeanie.syfu 
Retouching by @retouchconcept",2023-11-18 19:55:45,@delfinamorbelli.
CwASBb9tn71,9702158,6751,"Here’s a behind the scenes look at my new educational PDF guide ‘The Fashion Posing Guide’! ⁣
⁣
https://www.larajadeeducation.com/pdf-guides/fashion-posing-guide (link in bio)⁣
⁣
The concept of this guide came to me quite a few years ago when I realized there wasn’t much information out there on successful fashion posing. Everything I saw felt outdated and geared towards glamor/portrait photography! It was there and then that I decided that I needed to make a change for the better and I started teaching more about fashion posing during my in-person workshops.⁣
⁣
Two years ago I launched ‘The Light Guide’ and the feedback blew me away. I was amazed at how many of you took a chance on learning fashion lighting from me and I still get excited every time someone tells me how much my techniques helped them! Like lighting, posing is very visual, and I soon realized that having a tangible visual product (in the same way I use visual posing references on set) would benefit so many of you there! If you liked The Light Guide you will love The Fashion Posing Guide! ⁣
⁣
This guide features many of my go-to methods & tried and tested techniques as well as over 150+ poses to reference from in the form of the themed posing guides. Find out my favorite classic/romantic poses, edgy, dynamic & cover poses! ⁣
⁣
You don’t have to be a fashion photographer to benefit from this - portrait & bridal photographers can utilize the guide by learning modern posing techniques!⁣
⁣
Questions? I’d love to hear from you below",2023-11-18 19:55:45,
CwIYYHQuAED,9702158,2572,"PHOTOGRAPHERS! Which posing theme relates to you the most? Which do you feel most excited to learn more about?⁣
⁣
I am sharing some of my favorite poses with you in my new educational resource 'The Fashion Posing Guide' - in fact, there's over 150+ poses to reference from! ⁣
⁣
https://www.larajadeeducation.com/pdf-guides/fashion-posing-guide (link in bio) ⁣
⁣
Comment below!",2023-11-18 19:55:45,
Cl3-XpuOOtQ,9702158,2884,"New beauty work with @sofiagsubramaniam - fun studio day resulted in 3 different shoots. Can’t wait to share more!⁣
⁣
Which one is your favorite? Color or B&W? ⁣
⁣
Styling @connie_berg ⁣
Make Up @theauthenticface ⁣
Hair by @nikoweddle ⁣
Retouching @colorconsulting_us",2023-11-18 19:56:19,@sofiagsubramaniam
ClGi4g9ORDv,9702158,3358,"Want to see a few of my favorite images toned with my newly launched presets? ⁣
⁣
➡️ Scroll through and let me know which toning recipe resonates with you the most! Moody/classy black & whites? Vintage tones or luminous magazine worthy recipes?⁣
⁣
Find out more about my Capture One Styles at https://www.larajadeeducation.com/capture-one-styles (link in bio) Get 20% off with code BF22⁣
⁣
Use these presets to:⁣
✨ Speed up your workflow⁣
✨ Give you toning direction ⁣
✨ Get beautiful color recipes in one click⁣
✨ Assist in developing your own visual style⁣
✨ Impress your clients (toning as you shoot!)⁣
⁣
Enjoy experimenting & share your results with me by using the #larajadepresets hashtag.⁣
⁣
💬 I’d love to answer any questions you may have on toning, Capture One (program) or about my new presets below!",2023-11-18 19:56:19,
ClOUQO8u44L,9702158,1662,"Which of my new Capture One Style packs are you most excited about? Let me know in the comments below! ⁣
⁣
https://www.larajadeeducation.com/capture-one-styles (get 20% off with code BF22 for a limited time)⁣
⁣
▪️ FASHION FOUNDATIONS - My go-to set! Luminous curves, glossy contrast, lifted shadows and stunning color toning recipes bring your images to life.⁣
⁣
▪️ VINTAGE TONES - Ideal for any photographer looking to add a touch of nostalgia to their imagery! ⁣
⁣
▪️ BLACK & WHITE - The only black & white set you’ll ever need!  From timeless monochrome finishes all the way to moody & matte dramatic touches.⁣
⁣
I can't wait to see what you create with these new toning presets!",2023-11-18 19:56:19,
Clq_e_ZuNio,9702158,3958,"New work with the inspiring @thelumagrothe 🖤 ⁣
⁣
Styling by @connie_berg ⁣
Make Up by @theauthenticface ⁣
Hair by @nikoweddle ⁣
Retouching @retouchconcept",2023-11-18 19:56:19,@thelumagrothe
CmEr-sYOc46,9702158,4365,"New Work with the beautiful @thelumagrothe 🖤 ⁣
Styling @connie_berg ⁣
Make Up by @theauthenticface ⁣
Hair by @nikoweddle ⁣
Retouching @retouchconcept",2023-11-18 19:56:19,@thelumagrothe
CmMQ702uzES,9702158,3683,"New Work with the beautiful @thelumagrothe 🖤 ⁣⁣
⁣
Styling @connie_berg ⁣⁣
Make Up by @theauthenticface ⁣⁣
Hair by @nikoweddle ⁣⁣
Retouching @retouchconcept",2023-11-18 19:56:19,@thelumagrothe
Cf9quS9uc3K,9702158,2299,"New Shoot featuring the lovely @jia_ttong 🖤⁣ Is your favorite shot #1 or #2?
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching @retouchconcept",2023-11-18 19:56:20,@jia_ttong
CgfNjowuzrd,9702158,3114,"New Shoot featuring @jia_ttong 🖤
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching @retouchconcept",2023-11-18 19:56:20,@jia_ttong
CgKCOSCOOzR,9702158,1891,"New Shoot featuring @jia_ttong 🖤
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching @retouchconcept",2023-11-18 19:56:20,@jia_ttong
CgRfAfFuFFO,9702158,2138,"New Shoot featuring @jia_ttong 🖤
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching @retouchconcept",2023-11-18 19:56:20,@jia_ttong
CgwWgYOu3_M,9702158,2851,"New Shoot featuring @jia_ttong 🖤
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching @retouchconcept",2023-11-18 19:56:20,@jia_ttong
CgzhMLmu13f,9702158,2145,"New shoot out today for the August issue @tatlerasia! I had been dreaming up this idea for a while and I’m so happy with how it turned out! 🖤

Dream crew
Models @barbraleegrant and @adotthegreatt 
Styling by @connie_berg 
Production & Casting @muzam_productions 
Make Up by @williamrmurphy 
Hair by @charlesmchair 
Retouching @retouchconcept 
With thanks to assistants @hunterarthurm and @steventphoto",2023-11-18 19:56:20,@tatlerasia
ChAEZdTungZ,9702158,2250,"New shoot for the August issue @tatlerasia! 

Model @barbraleegrant 
Styling by @connie_berg 
Production & Casting @muzam_productions 
Make Up by @williamrmurphy 
Hair by @charlesmchair 
Retouching @retouchconcept 
With thanks to assistants @hunterarthurm and @steventphoto",2023-11-18 19:56:20,@tatlerasia
ChkXrwxumG6,9702158,2183,"Beautiful @natashaluwedde for @tatlerasia 🖤

Styling by @connie_berg 
Production & Casting @muzam_productions 
Make Up by @williamrmurphy 
Hair by @charlesmchair 
Retouching @retouchconcept 
With thanks to assistants @hunterarthurm and @steventphoto",2023-11-18 19:56:20,@natashaluwedde
ChsJ0hGuPSk,9702158,1357,"New work for @tatlerasia featuring @natashaluwedde 🌟

Styling by @connie_berg 
Production & Casting @muzam_productions 
Make Up by @williamrmurphy 
Hair by @charlesmchair 
Retouching @retouchconcept 
With thanks to assistants @hunterarthurm and @steventphoto",2023-11-18 19:56:20,@tatlerasia
ChSprLcOr21,9702158,2507,"Can’t stop sharing these! New shoot for the August issue @tatlerasia! 

Models @adotthegreatt & @natashaluwedde 
Styling by @connie_berg 
Production & Casting @muzam_productions 
Make Up by @williamrmurphy 
Hair by @charlesmchair 
Retouching @retouchconcept 
With thanks to assistants @hunterarthurm and @steventphoto",2023-11-18 19:56:20,@tatlerasia
CjjGIo2A0fC,9702158,2629,"New beauty work for @esteelauder⁣ 💋⁣⁣
⁣⁣
Model @vanessafuchs ⁣⁣
Make Up by @jocelyn_biga ⁣⁣⁣
Hair by @ewilliams_hair ⁣⁣
AD @gerchick",2023-11-18 19:56:20,@esteelauder
CjToxAUOBbz,9702158,3382,"I’ve been a little absent from my postings here on insta! Life & work has been busy & to be honest it has been nice to take a break from the pressure of social posting! ⁣⁣
⁣⁣
I couldn’t resist sharing some new work with you all - fresh from my inbox this morning. Shot back in April and just now released for the holidays! 🌟 ⁣⁣
⁣⁣
New beauty work for @esteelauder⁣⁣
Model @sifsaga⁣⁣
Make Up by @jocelyn_biga ⁣⁣
Hair by @ewilliams_hair ⁣⁣
AD: @gerchick",2023-11-18 19:56:20,@esteelauder
CjYYTpwukVu,9702158,2181,"Carrying on with the red theme this week on my insta feed with this beauty shoot with the gorg @morgannfletcherr 💋 ⁣
⁣
This project was photographed for my educational guide ‘The Light Guide’ last year. I had so much fun creating several lighting set ups for you to follow and try out! This is one of my favorite beauty styles to shoot.. scroll through to see another favorite from this set! ⁣
⁣
Do you own The Light Guide? Do you have a favorite set up?",2023-11-18 19:56:20,@morgannfletcherr
CkbU5B3uOoX,9702158,2906,"A collection of images from a recent shoot for @functionofbeauty! Custom hair that is tailored to your unique hair style. Fun day with fun creatives! ⁣
⁣
Styling by @anapaula.cervera ⁣
Make Up by @deborahaltiziomakeup ⁣
Hair by @yusefhairnyc ⁣
Models @alejandradusol @madisonmoehling @white.cocoa_ @shallensabino⁣
Production @boomproductions",2023-11-18 19:56:20,@functionofbeauty
Ckq9taLusj0,9702158,5064,"Looking back on this inspiring shoot with the gorgeous @marleekbell for @issue_cl. Which shot is your favorite? 
⁣
Styling by @mimikimny ⁣
Make Up by @_virginiayoung_ ⁣
Hair by @thisisclay ⁣
Retouching by @retouchconcept",2023-11-18 19:56:20,@marleekbell
ClBj5F0uUnB,9702158,1480,"PHOTOGRAPHERS! I am SO excited to share what I’ve been secretly working on over the past few weeks - Capture One Toning Styles! ⁣⁣
⁣⁣
https://www.larajadeeducation.com/capture-one-styles (link in bio)⁣⁣
Use code BF22 and get 20% off for a limited time!⁣⁣
⁣⁣
Introducing you to 3 Style Packs - Fashion Foundations, Vintage Tones & Black & White.⁣⁣
⁣⁣
After years of photographers asking me what my go-to toning recipes are, I can finally share my toning preferences with you. I previously shared my Lightroom & Photoshop recipes but it made sense to launch presets via the program I use exclusively on all of my photoshoot sets! ⁣⁣
⁣⁣
For the past 6+ years now, I’ve used the program Capture One. It really is the gold standard in image workflow and is used in the commercial world by the majority of all fashion, beauty & portrait clients. ⁣⁣
These past few months I have found myself wondering why I hadn’t saved my previous recipes for future shoots because it would make my life so much easier. Having a foundation to work from & ideas for toning direction speed up workflow & inspire new ideas. I find myself doing the same toning adjustments on almost every shoot (sometimes a little tweak here and there). Then it got me thinking, I should be sharing these! ⁣⁣
⁣⁣
I am so proud of how these 3 Style Packs turned out. Those that know me know I can’t launch a product without putting my heart and soul into it. I always like to create these products alone without help because that way I get the utmost control of how they turn out and how they reflect my personal style. I really leaned into & listened to what I thought you’d all want to know from me & I can’t wait for you to try them out! ⁣⁣
⁣⁣
💬 Do you have any questions regarding image toning or these new presets? Feel free to ask below!",2023-11-18 19:56:20,
Cc3rrjHOQnU,9702158,2065,"The inspiring @nastyanochnaya photographed for my NY workshops last month! ⁣
⁣
I had such a great time creating these images alongside the students. One piece of advice I always give on these events is to not be afraid to work and experiment out of your comfort zone. For years I struggled with this until a year is so ago I started feeling comfortable with getting more creative and it opened up a lot more doors for me! So, here’s your weekly reminder to try something new and maybe sprinkle in a little weirdness. You never know, it might just surprise you!⁣
⁣
Styling by @mimikimny ⁣
Make Up by @deborahaltiziomakeup ⁣
Hair by @thisisclay ⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@nastyanochnaya
Cc-3sMiODO-,9702158,2967,"The lovely @kaylamartin3z photographed at my workshops last month - I was really drawn to the B& shots from this set! 🖤⁣

Styling by @mimikimny ⁣⁣⁣
Make Up by @deborahaltiziomakeup ⁣⁣⁣
Hair by @thisisclay ⁣⁣⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@kaylamartin3z
CdGn9Fdumcn,9702158,1828,"The inspiring @nastyanochnaya photographed for my NY workshops last month! ⁣
⁣
Two very different looks! Which one is your favorite? 
⁣
Styling by @mimikimny ⁣
Make Up by @deborahaltiziomakeup ⁣
Hair by @thisisclay ⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@nastyanochnaya
CdOJW6VOADX,9702158,2539,"Gorgeous @hi_yoshito photographed at my London workshops in March! ⁣
⁣
I couldn’t decide between the B&W and color. Which one is your favorite? ⁣⁣
⁣⁣
Styling by @jennifer.michalski.bray.style ⁣
Make Up by @daniguinsbergmua ⁣
Hair by @johanjohn_ ⁣
Retouching @colorconsulting_us",2023-11-18 19:56:44,@hi_yoshito
CeEhvk3O_s_,9702158,4377,"New beauty story with @polina.zavialova 🌹⁣
⁣
Which shot is your favorite?⁣
⁣
Styling by @connie_berg ⁣⁣
Make Up by @deborahaltiziomakeup ⁣⁣
Hair by @yukikie ⁣⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@polina.zavialova
CeOUVtBuZhQ,9702158,1546,"New beauty with @polina.zavialova. Fun day with a great team! ⁣
⁣
Which shot is your favorite?⁣
⁣
Styling by @connie_berg ⁣⁣
Make Up by @deborahaltiziomakeup ⁣⁣
Hair by @yukikie ⁣⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@polina.zavialova.
CeTiwV6u7i7,9702158,1663,"A few more favorite beauty shots from my day with @polina.zavialova. 
⁣
Do you have a favorite shot? 
⁣
Styling by @connie_berg ⁣⁣
Make Up by @deborahaltiziomakeup ⁣⁣
Hair by @yukikie ⁣⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@polina.zavialova.
CeytgF0OmuM,9702158,2362,"Beauty shoot with @pakyan___ 🖤Which shot is your favorite? 1 or 2? 
⁣
Styling by @connie_berg ⁣
Make Up by @deborahaltiziomakeup ⁣
Hair by @yukikie ⁣
Retouching @retouchconcept",2023-11-18 19:56:44,@pakyan___
Cf40J2kOe3f,9702158,3371,"Gorgeous muse miss @jia_ttong who has been in front of my lens countless times but photographing her never gets old! ⁣
Inspiring day with these guys.. ⁣
⁣
Styling by @connie_berg ⁣
Make Up by @misuzumiyake ⁣
Hair by @michaelthomaslollo ⁣
Retouching by @retouchconcept",2023-11-18 19:56:44,@jia_ttong
